[Zone]  ID=port28; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=True; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=KP-Festival1Intro; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.4; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=8; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pDirt; zoneGrassPalette=overworld3; zoneGrassDarkPalette=overworld1; zoneStonePalette=p2; zoneStoneDarkPalette=p2; zoneStoneLightPalette=p13; zoneWaterPalette=pBlue2; zoneDirtDarkPalette=pDirt; zoneWoodPalette=pYellow5; zoneWoodDarkPalette=pYellow5; zoneMisc1Palette=p13; zoneMisc2Palette=p9; zoneMisc3Palette=p49; zoneMisc4Palette=pTeal2; zoneMisc5Palette=pRedbrown; zoneMisc6Palette=pOrange; zoneMisc7Palette=pGrey5; zoneMisc8Palette=p13; 

combatMode=False; 

[Item] ID=roof_black; q=1; x=8; y=53;
[Item] ID=roof_black; q=1; x=8; y=54;
[Item] ID=roof_black; q=1; x=8; y=55;
[Item] ID=roof_black; q=1; x=8; y=56;
[Item] ID=roof_black; q=1; x=8; y=57;
[Item] ID=roof_black; q=1; x=9; y=53;
[Item] ID=roof_black; q=1; x=9; y=54;
[Item] ID=roof_black; q=1; x=9; y=55;
[Item] ID=blockedLoE; q=1; x=9; y=55;
[Item] ID=roof_black; q=1; x=9; y=56;
[Item] ID=roof_black; q=1; x=9; y=57;
[Item] ID=roof_black; q=1; x=10; y=53;
[Item] ID=roof_black; q=1; x=10; y=54;
[Item] ID=roof_black; q=1; x=10; y=55;
[Item] ID=painting_huge2; q=1; x=10; y=55;
[Item] ID=blockedLoE; q=1; x=10; y=55;
[Item] ID=roof_black; q=1; x=10; y=56;
[Item] ID=roof_black; q=1; x=10; y=57;
[Item] ID=blockedLoE; q=1; x=11; y=16;
[Item] ID=blockedLoE; q=1; x=11; y=17;
[Item] ID=blockedLoE; q=1; x=11; y=18;
[Item] ID=blockedLoE; q=1; x=11; y=19;
[Item] ID=blockedLoE; q=1; x=11; y=20;
[Item] ID=blockedLoE; q=1; x=11; y=21;
[Item] ID=blockedLoE; q=1; x=11; y=22;
[Item] ID=blockedLoE; q=1; x=11; y=23;
[Item] ID=blockedLoE; q=1; x=11; y=24;
[Item] ID=blockedLoE; q=1; x=11; y=25;
[Item] ID=blockedLoE; q=1; x=11; y=26;
[Item] ID=blockedLoE; q=1; x=11; y=27;
[Item] ID=blockedLoE; q=1; x=11; y=28;
[Item] ID=blockedLoE; q=1; x=11; y=29;
[Item] ID=blockedLoE; q=1; x=11; y=30;
[Item] ID=blockedLoE; q=1; x=11; y=31;
[Item] ID=blockedLoE; q=1; x=11; y=32;
[Item] ID=blockedLoE; q=1; x=11; y=33;
[Item] ID=blockedLoE; q=1; x=11; y=34;
[Item] ID=blockedLoE; q=1; x=11; y=35;
[Item] ID=blockedLoE; q=1; x=11; y=36;
[Item] ID=blockedLoE; q=1; x=11; y=37;
[Item] ID=blockedLoE; q=1; x=11; y=38;
[Item] ID=blockedLoE; q=1; x=11; y=39;
[Item] ID=blockedLoE; q=1; x=11; y=40;
[Item] ID=blockedLoE; q=1; x=11; y=41;
[Item] ID=blockedLoE; q=1; x=11; y=42;
[Item] ID=blockedLoE; q=1; x=11; y=43;
[Item] ID=blockedLoE; q=1; x=11; y=44;
[Item] ID=blockedLoE; q=1; x=11; y=45;
[Item] ID=blockedLoE; q=1; x=11; y=46;
[Item] ID=blockedLoE; q=1; x=11; y=47;
[Item] ID=blockedLoE; q=1; x=11; y=48;
[Item] ID=blockedLoE; q=1; x=11; y=49;
[Item] ID=cantBlackenTile; q=1; x=11; y=53;
