[Zone]  ID=port29; dark=True; timeUntilNewDay=24; showFogOfWar=False; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=True; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Exotic2; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=p61; zoneGrassPalette=p61; zoneGrassDarkPalette=pCoralHilt; zoneStonePalette=p13; zoneStoneDarkPalette=pSilver; zoneStoneLightPalette=pVolskarnEmpty; zoneWaterPalette=pBlue2; zoneDirtDarkPalette=p60; zoneWoodPalette=pRedbrown2; zoneWoodDarkPalette=pBrown; zoneMisc1Palette=p10; zoneMisc2Palette=p14; zoneMisc3Palette=p44; zoneMisc4Palette=p29; zoneMisc5Palette=p30; zoneMisc6Palette=p43; zoneMisc7Palette=pYellow; zoneMisc8Palette=pYellow4; 

combatMode=False; zoneFX=w_cloudshade;zoneFXTime=9999999;zoneFX_x=0;zoneFX_y=0;zoneFX=w_snow;zoneFXTime=1;zoneFX_x=-1;zoneFX_y=-1;

[Item] ID=wall2_style2; q=1; x=8; y=7;
[Item] ID=roof2_flat5; q=1; x=8; y=7;
[Item] ID=wall2_style2; q=1; x=8; y=8;
[Item] ID=roof2_flat5; q=1; x=8; y=8;
[Item] ID=wall2_style2; q=1; x=8; y=9;
[Item] ID=roof2_flat5; q=1; x=8; y=9;
[Item] ID=lamp_wall_off; q=1; x=8; y=9;
[Item] ID=wall2_style2; q=1; x=8; y=10;
[Item] ID=roof2_flat5; q=1; x=8; y=10;
[Item] ID=wall2_style2; q=1; x=8; y=11;
[Item] ID=roof2_flat5; q=1; x=8; y=11;
[Item] ID=wall2_style2; q=1; x=8; y=12;
[Item] ID=roof2_flat5; q=1; x=8; y=12;
[Item] ID=wall2_style2; q=1; x=8; y=13;
[Item] ID=roof2_flat5; q=1; x=8; y=13;
[Item] ID=wall2_style2; q=1; x=8; y=14;
[Item] ID=roof2_flat5; q=1; x=8; y=14;
[Item] ID=wall2_style2; q=1; x=8; y=15;
[Item] ID=roof2_flat5; q=1; x=8; y=15;
[Item] ID=wall2_style2; q=1; x=8; y=16;
[Item] ID=roof2_flat5; q=1; x=8; y=16;
[Item] ID=wall2_style2; q=1; x=8; y=17;
[Item] ID=roof2_flat8; q=2; x=8; y=17;
[Item] ID=wall2_style2; q=1; x=8; y=18;
[Item] ID=wall2_style2_roof; q=1; x=8; y=18;
[Item] ID=wall5_style2; q=1; x=8; y=19;
[Item] ID=cantBlackenTile; q=1; x=8; y=19;
[Item] ID=ice_rocks; q=1; x=8; y=20;
[Item] ID=comb; q=1; bu=True; x=8; y=21;
[Item] ID=ice_rocks; q=1; x=8; y=23;
[Item] ID=ice_rocks; q=1; x=8; y=24;
[Item] ID=pebbles1; q=1; r=180; x=8; y=26;
[Item] ID=rubble; q=1; x=8; y=33;
[Item] ID=rubble; q=1; x=8; y=38;
[Item] ID=rocks1; q=1; r=-360; x=8; y=40;
[Item] ID=wall2_style2; q=1; x=9; y=7;
[Item] ID=roof2_flat5; q=1; x=9; y=7;
[Item] ID=roof2_flat5; q=1; x=9; y=8;
[Item] ID=shelves_big_stuff1; q=1; x=9; y=8;
[Item] ID=roof2_flat5; q=1; x=9; y=9;
[Item] ID=roof2_flat5; q=1; x=9; y=10;
[Item] ID=shelves_big_stuff3; q=1; x=9; y=10;
[Item] ID=roof2_flat5; q=1; x=9; y=11;
[Item] ID=roof2_flat5; q=1; x=9; y=12;
[Item] ID=roof1_ornament2; q=1; x=9; y=12;
[Item] ID=shelves_big_stuff4; q=1; x=9; y=12;
[Item] ID=wall2_style2; q=1; x=9; y=13;
[Item] ID=roof2_flat5; q=1; x=9; y=13;
[Item] ID=roof2_flat5; q=1; x=9; y=14;
[Item] ID=bookshelves_bigL1; q=1; x=9; y=14;
[Item] ID=roof2_flat5; q=1; x=9; y=15;
[Item] ID=roof2_flat5; q=1; x=9; y=16;
[Item] ID=roof1_ornament2; q=1; x=9; y=16;
[Item] ID=stand_cornerTop; q=1; x=9; y=16;
[Item] ID=item_cantGrabOrPlace; q=1; x=9; y=16;
[Item] ID=notes_blank; q=1; x=9; y=16;
[Item] ID=roof2_flat8; q=2; x=9; y=17;
[Item] ID=stand_cornerBtm; q=1; x=9; y=17;
[Item] ID=wall2_style2_roof; q=1; x=9; y=18;
[Item] ID=stool3; q=1; x=9; y=18;
[Item] ID=item_cantGrabOrPlace; q=1; x=9; y=18;
[Item] ID=wall5_style2; q=1; x=9; y=19;
[Item] ID=cantBlackenTile; q=1; x=9; y=19;
[Item] ID=ice_rocks_wallbase; q=1; x=9; y=20;
[Item] ID=ice_rocks; q=1; x=9; y=21;
[Item] ID=rubble; q=1; x=9; y=31;
[Item] ID=bottle; q=1; bu=True; x=9; y=32;
[Item] ID=wall2_style2; q=1; x=10; y=7;
[Item] ID=roof2_flat5; q=1; x=10; y=7;
[Item] ID=roof2_flat5; q=1; x=10; y=8;
[Item] ID=shelves_big_empty2; q=1; r=-360; x=10; y=8;
[Item] ID=roof2_flat5; q=1; x=10; y=9;
[Item] ID=roof2_flat5; q=1; x=10; y=10;
[Item] ID=shelves_big_stuff2; q=1; r=-360; x=10; y=10;
[Item] ID=roof2_flat5; q=1; x=10; y=11;
[Item] ID=roof2_flat5; q=1; x=10; y=12;
[Item] ID=shelves_big_stuff3; q=1; r=-360; x=10; y=12;
[Item] ID=wall2_style2; q=1; x=10; y=13;
[Item] ID=roof2_flat5; q=1; x=10; y=13;
[Item] ID=roof2_flat5; q=1; x=10; y=14;
[Item] ID=bookshelves_bigR1; q=1; x=10; y=14;
[Item] ID=roof2_flat5; q=1; x=10; y=15;
[Item] ID=roof2_flat5; q=1; x=10; y=16;
[Item] ID=stand_cornerTop; q=1; r=-360; x=10; y=16;
[Item] ID=roof2_flat8; q=2; x=10; y=17;
[Item] ID=stand_cornerBtm; q=1; r=-360; x=10; y=17;
[Item] ID=item_cantGrabOrPlace; q=1; x=10; y=17;
[Item] ID=plate; q=1; x=10; y=17;
[Item] ID=fork; q=1; x=10; y=17;
[Item] ID=wall2_style2_roof; q=1; x=10; y=18;
[Item] ID=wall5_style2; q=1; x=10; y=19;
[Item] ID=cantBlackenTile; q=1; x=10; y=19;
[Item] ID=ice_rocks; q=1; x=10; y=20;
[Item] ID=wall1_style7_p; q=2; x=10; y=28;
[Item] ID=roof2_flat1; q=2; x=10; y=28;
[Item] ID=roof1_ornament2; q=2; x=10; y=28;
[Item] ID=wall4_style7_p; q=2; x=10; y=29;
[Item] ID=roof2_flat4; q=2; x=10; y=29;
[Item] ID=wall4_style7_p; q=2; x=10; y=30;
[Item] ID=roof2_flat4; q=2; x=10; y=30;
[Item] ID=wall4_style7_p; q=2; x=10; y=31;
[Item] ID=roof2_flat4; q=2; x=10; y=31;
[Item] ID=wall4_style7_p; q=2; x=10; y=32;
[Item] ID=roof2_flat4; q=2; x=10; y=32;
[Item] ID=wall4_style7_p; q=2; x=10; y=33;
[Item] ID=roof2_flat4; q=2; x=10; y=33;
[Item] ID=wall4_style7_p; q=2; x=10; y=34;
[Item] ID=roof2_flat7; q=2; x=10; y=34;
[Item] ID=roof1_ornament2; q=2; x=10; y=34;
[Item] ID=wall1_style7_p; q=2; x=10; y=35;
[Item] ID=cantBlackenTile; q=1; x=10; y=35;
[Item] ID=wall4_style7_p; q=2; x=10; y=36;
[Item] ID=cantBlackenTile; q=1; x=10; y=36;
[Item] ID=ice_rocks; q=1; x=10; y=37;
[Item] ID=rubble; q=1; x=10; y=41;
[Item] ID=wall2_style2; q=1; x=11; y=7;
[Item] ID=roof2_flat5; q=1; x=11; y=7;
[Item] ID=doorway_square_locked_staticP; q=1; x=11; y=7;
[Item] ID=roof2_flat5; q=1; x=11; y=8;
[Item] ID=roof2_flat5; q=1; x=11; y=9;
[Item] ID=roof2_flat5; q=1; x=11; y=10;
[Item] ID=roof2_flat5; q=1; x=11; y=11;
[Item] ID=roof2_flat5; q=1; x=11; y=12;
[Item] ID=shelves_big_stuff6; q=1; x=11; y=12;
[Item] ID=wall2_style2; q=1; x=11; y=13;
[Item] ID=roof2_flat5; q=1; x=11; y=13;
[Item] ID=roof2_flat5; q=1; x=11; y=14;
[Item] ID=bookshelves; q=1; x=11; y=14;
[Item] ID=roof2_flat5; q=1; x=11; y=15;
[Item] ID=roof2_flat5; q=1; x=11; y=16;
[Item] ID=roof2_flat8; q=2; x=11; y=17;
[Item] ID=stool3; q=1; x=11; y=17;
[Item] ID=item_cantGrabOrPlace; q=1; x=11; y=17;
[Item] ID=wall2_style2_roof; q=1; x=11; y=18;
[Item] ID=wall5_style2; q=1; x=11; y=19;
[Item] ID=cantBlackenTile; q=1; x=11; y=19;
[Item] ID=ice_rocks_wallbase; q=1; x=11; y=20;
[Item] ID=rocks1; q=1; r=-360; x=11; y=21;
[Item] ID=wall2_style7_p; q=2; x=11; y=28;
[Item] ID=roof2_flat2; q=2; x=11; y=28;
[Item] ID=roof2_flat5; q=1; x=11; y=29;
[Item] ID=roof1_ornament2; q=1; x=11; y=29;
[Item] ID=brazier; q=1; x=11; y=29;
[Item] ID=roof2_flat5; q=1; x=11; y=30;
[Item] ID=roof2_flat5; q=1; x=11; y=31;
[Item] ID=table_stone; q=1; x=11; y=31;
[Item] ID=item_cantGrabOrPlace; q=1; x=11; y=31;
[Item] ID=axe_elec; q=1; x=11; y=31; containerID=0;
[Item] ID=roof2_flat5; q=1; x=11; y=32;
[Item] ID=roof2_flat5; q=1; x=11; y=33;
[Item] ID=roof1_ornament2; q=1; x=11; y=33;
[Item] ID=roof2_flat8; q=2; x=11; y=34;
[Item] ID=wall2_style7_roof_p; q=2; x=11; y=35;
[Item] ID=barrel_weapons; q=1; x=11; y=35;
[Item] ID=wall5_style7_p; q=2; x=11; y=36;
[Item] ID=cantBlackenTile; q=1; x=11; y=36;
[Item] ID=ice_rocks_wallbase; q=1; x=11; y=37;
[Item] ID=wall2_style2; q=1; x=12; y=7;
[Item] ID=roof2_flat5; q=1; x=12; y=7;
[Item] ID=roof2_flat5; q=1; x=12; y=8;
[Item] ID=roof2_flat5; q=1; x=12; y=9;
[Item] ID=carpet6; q=6; x=12; y=9;
[Item] ID=carpet_corner2; q=6; r=360; x=12; y=9;
[Item] ID=roof2_flat5; q=1; x=12; y=10;
[Item] ID=carpet6; q=6; x=12; y=10;
[Item] ID=carpet_corner2; q=6; r=270; x=12; y=10;
[Item] ID=roof2_flat5; q=1; x=12; y=11;
[Item] ID=roof2_flat5; q=1; x=12; y=12;
[Item] ID=shelves_big_stuff5; q=1; r=-360; x=12; y=12;
[Item] ID=wall2_style2; q=1; x=12; y=13;
[Item] ID=roof2_flat5; q=1; x=12; y=13;
[Item] ID=roof2_flat5; q=1; x=12; y=14;
[Item] ID=bookshelves_bigL1; q=1; x=12; y=14;
[Item] ID=roof2_flat5; q=1; x=12; y=15;
[Item] ID=roof2_flat5; q=1; x=12; y=16;
[Item] ID=roof2_flat8; q=2; x=12; y=17;
[Item] ID=wall2_style2_roof; q=1; x=12; y=18;
[Item] ID=wall5_style2; q=1; x=12; y=19;
[Item] ID=cantBlackenTile; q=1; x=12; y=19;
[Item] ID=ice_rocks; q=1; x=12; y=26;
[Item] ID=wall2_style7_p; q=2; x=12; y=28;
[Item] ID=roof2_flat2; q=2; x=12; y=28;
[Item] ID=mount_item; q=1; r=360; x=12; y=28;
[Item] ID=axe_steel; q=1; oX=4; oY=0; x=12; y=28; containerID=1;
[Item] ID=axe_steel; q=1; r=-360; oX=-4; oY=0; x=12; y=28; containerID=2;
[Item] ID=item_cantGrabOrPlace; q=1; x=12; y=28;
[Item] ID=roof2_flat5; q=1; x=12; y=29;
[Item] ID=roof2_flat5; q=1; x=12; y=30;
[Item] ID=roof2_flat5; q=1; x=12; y=31;
[Item] ID=roof2_flat5; q=1; x=12; y=32;
[Item] ID=roof2_flat5; q=1; x=12; y=33;
[Item] ID=carpet7; q=7; x=12; y=33;
[Item] ID=carpet_corner1; q=4; x=12; y=33;
[Item] ID=roof2_flat8; q=2; x=12; y=34;
[Item] ID=carpet2; q=7; r=90; x=12; y=34;
[Item] ID=carpet_edge1; q=4; r=270; x=12; y=34;
