[Zone]  ID=port6_royal1; locID=port6; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=True; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=True; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Minstrel2; travelSongVolume=1; travelSongPitch=0; song2=; song2Volume=1; song2Pitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=209; darkG=214; darkB=211; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0; 
 bgTerrainTypeID=; bgFXID=; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pDirt; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p13; zoneStoneDarkPalette=p14; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pDirt; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pRed2; zoneMisc2Palette=pYellow5; zoneMisc3Palette=pRed2; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=curtain1R_top; q=3; x=12; y=15;
[Item] ID=curtain1R_btm; q=3; x=12; y=16;
[Item] ID=fade_f2; q=1; x=12; y=18;
[Item] ID=fade_f1; q=1; x=12; y=19;
[Item] ID=fade_f2; q=1; x=13; y=19;
[Item] ID=curtain1L_top; q=3; x=15; y=15;
[Item] ID=curtain1L_btm; q=3; x=15; y=16;
[Item] ID=curtain1R_top; q=3; x=16; y=15;
[Item] ID=curtain1R_btm; q=3; x=16; y=16;
[Item] ID=wall_diagonalL2; q=1; x=17; y=23;
[Item] ID=wall_diagonalL3; q=1; x=17; y=24;
[Item] ID=wall_diagonalL2; q=1; x=17; y=29;
[Item] ID=wall_diagonalL3; q=1; x=17; y=30;
[Item] ID=brazier; q=1; x=17; y=31;
[Item] ID=wall_diagonalL2; q=1; x=17; y=36;
[Item] ID=wall_diagonalL3; q=1; x=17; y=37;
[Item] ID=table_stone; q=1; x=18; y=22;
[Item] ID=tablecloth1; q=1; x=18; y=22;
[Item] ID=table_stone; q=1; x=18; y=36;
[Item] ID=tablecloth1; q=1; x=18; y=36;
[Item] ID=wall_diagonalL2; q=1; r=-360; x=19; y=16;
[Item] ID=wall_diagonalL3; q=1; r=-360; x=19; y=17;
[Item] ID=lightSphere; q=1; x=20; y=16;
[Item] ID=banner_seartial_big1; q=1; x=20; y=17;
[Item] ID=pillar_mid2; q=1; x=20; y=28;
[Item] ID=pillar_base2; q=1; x=20; y=29;
[Item] ID=pillar_mid2; q=1; x=20; y=35;
[Item] ID=pillar_base2; q=1; x=20; y=36;
[Item] ID=wall_diagonalL2; q=1; x=21; y=16;
[Item] ID=wall_diagonalL3; q=1; x=21; y=17;
[Item] ID=chest_stone2_locked; q=1; oX=0; oY=12; x=21; y=20; containerID=0;
[Item] ID=table_left2; q=1; x=21; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=21; y=21;
[Item] ID=fade_f2; q=1; x=21; y=43;
[Item] ID=fade_f1; q=1; x=21; y=44;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=13;
[Item] ID=fade_f1; q=1; x=22; y=13;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=14;
[Item] ID=fade_f2; q=1; r=90; x=22; y=14;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=15;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=16;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=17;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=18;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=19;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=20;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=21;
[Item] ID=table_mid2; q=1; x=22; y=21;
[Item] ID=tableclothL2; q=1; x=22; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=22; y=21;
[Item] ID=notes_useless; q=1; r=90; x=22; y=21;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=22;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=23;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=24;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=25;
[Item] ID=carpet_regal1_edge; q=1; r=360; x=22; y=26;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=27;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=28;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=29;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=30;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=31;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=32;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=33;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=34;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=35;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=36;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=37;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=38;
[Item] ID=carpet_regal1_edge; q=1; x=22; y=39;
[Item] ID=carpet_regal1_corner; q=1; r=270; x=22; y=40;
[Item] ID=fade_f2; q=1; x=22; y=44;
[Item] ID=sunbeam_line_huge_dim; q=1; x=23; y=12;
[Item] ID=carpet_regal1; q=1; x=23; y=13;
[Item] ID=fade_f2; q=1; r=90; x=23; y=13;
[Item] ID=carpet_regal1; q=1; x=23; y=14;
[Item] ID=carpet_regal1; q=1; x=23; y=15;
[Item] ID=carpet_regal1; q=1; x=23; y=16;
[Item] ID=carpet_regal1; q=1; x=23; y=17;
[Item] ID=carpet_regal1; q=1; x=23; y=18;
[Item] ID=carpet_regal1; q=1; x=23; y=19;
[Item] ID=carpet_regal1; q=1; x=23; y=20;
[Item] ID=carpet_regal1; q=1; x=23; y=21;
[Item] ID=table_mid2; q=1; x=23; y=21;
[Item] ID=tableclothM2; q=1; x=23; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=23; y=21;
[Item] ID=carpet_regal1; q=1; x=23; y=22;
