[Zone]  ID=zBeach0c2; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Investigation3; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=71; darkG=57; darkB=86; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=oceanB; bgFX_sineWave=8; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pYellow6; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=p48; zoneDirtDarkPalette=p20; zoneWoodPalette=pYellow5; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p50; zoneMisc2Palette=pWoodDark; zoneMisc3Palette=pRed3; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=rubble; q=1; x=12; y=33;
[Item] ID=woodSupport2; q=1; r=-90; oX=0; oY=-16; x=13; y=32;
[Item] ID=woodSupport2; q=1; r=-90; x=13; y=32;
[Item] ID=lantern_mounted1; q=1; r=-360; x=13; y=32;
[Item] ID=rubble; q=1; x=13; y=34;
[Item] ID=rubble; q=1; x=13; y=36;
[Item] ID=rubble; q=1; x=13; y=37;
[Item] ID=rubble; q=1; x=13; y=39;
[Item] ID=bottle; q=1; r=270; x=13; y=39;
[Item] ID=rubble; q=1; x=13; y=40;
[Item] ID=rubble; q=1; x=14; y=31;
[Item] ID=rubble; q=1; x=14; y=41;
[Item] ID=sunbeam; q=1; x=15; y=23;
[Item] ID=blocker_reactions; q=1; x=15; y=28;
[Item] ID=woodSupport2; q=1; r=270; x=15; y=28;
[Item] ID=woodSupport2; q=1; r=270; oX=0; oY=-16; x=15; y=28;
[Item] ID=blocker_reactions; q=1; x=15; y=29;
[Item] ID=woodSupport2; q=1; r=270; x=15; y=29;
[Item] ID=rocks1; q=1; x=15; y=30;
[Item] ID=debris_wood; q=1; x=15; y=41;
[Item] ID=boat_fcastle_corner2; q=1; x=15; y=42;
[Item] ID=roof2_flat1; q=1; x=15; y=42;
[Item] ID=roof1_ornament2; q=1; x=15; y=42;
[Item] ID=blockedLoE; q=1; x=15; y=42;
[Item] ID=roof2_flat4; q=1; x=15; y=43;
[Item] ID=blockedLoE; q=1; x=15; y=43;
[Item] ID=roof2_flat4; q=1; x=15; y=44;
[Item] ID=blockedLoE; q=1; x=15; y=44;
[Item] ID=roof2_flat4; q=1; x=15; y=45;
[Item] ID=blockedLoE; q=1; x=15; y=45;
[Item] ID=roof2_flat4; q=1; x=15; y=46;
[Item] ID=blockedLoE; q=1; x=15; y=46;
[Item] ID=roof2_flat4; q=1; x=15; y=47;
[Item] ID=blockedLoE; q=1; x=15; y=47;
[Item] ID=roof2_flat4; q=1; x=15; y=48;
[Item] ID=blockedLoE; q=1; x=15; y=48;
[Item] ID=roof2_flat4; q=1; x=15; y=49;
[Item] ID=blockedLoE; q=1; x=15; y=49;
[Item] ID=roof2_flat4; q=1; x=15; y=50;
[Item] ID=blockedLoE; q=1; x=15; y=50;
[Item] ID=roof2_flat7; q=1; x=15; y=51;
[Item] ID=roof1_ornament2; q=1; x=15; y=51;
[Item] ID=blockedLoE; q=1; x=15; y=51;
[Item] ID=blockedLoE; q=1; x=15; y=52;
[Item] ID=cantBlackenTile; q=1; x=15; y=52;
[Item] ID=sunbeam; q=1; x=16; y=23;
[Item] ID=blocker_reactions; q=1; x=16; y=27;
[Item] ID=blocker_reactions; q=1; x=16; y=28;
[Item] ID=blocker_reactions; q=1; x=16; y=29;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=16; y=29;
[Item] ID=roof2_flat2; q=1; x=16; y=42;
[Item] ID=blockedLoE; q=1; x=16; y=42;
[Item] ID=roof2_flat5; q=1; x=16; y=43;
[Item] ID=debris_wood; q=1; r=-360; x=16; y=43;
[Item] ID=roof2_flat5; q=1; x=16; y=44;
[Item] ID=stool3; q=1; x=16; y=44;
[Item] ID=table_left; q=1; x=16; y=45;
[Item] ID=roof2_flat5; q=1; x=16; y=45;
[Item] ID=tableclothL1; q=3; x=16; y=45;
[Item] ID=mossMalt; q=1; x=16; y=45;
[Item] ID=roof2_flat5; q=1; x=16; y=46;
[Item] ID=stool3; q=1; x=16; y=46;
[Item] ID=roof2_flat5; q=1; x=16; y=47;
[Item] ID=table_left; q=1; x=16; y=48;
[Item] ID=roof2_flat5; q=1; x=16; y=48;
