[Zone]  ID=zBoardDemo; dark=True; timeUntilNewDay=24; showFogOfWar=False; fogOfWar=False; minimapEnabled=True; cantAct=False; cantGameOver=False; peaceful=False; overseerMode=True; rollingPinStyle=False; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=119; darkG=122; darkB=120; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pDirt; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pDirt; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pWoodDark; zoneMisc2Palette=pWoodDark; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=sunbeam_circle_big; quantity=1; x=3; y=9;
[Item] ID=gamechip_sack1; quantity=1; x=5; y=5; containerID=0;
[Item] ID=gamechip_fire1_r; quantity=1; containedIn=0; cSlot=0;
[Item] ID=gamechip_fire2_r; quantity=1; containedIn=0; cSlot=1;
[Item] ID=gamechip_fire3_r; quantity=1; containedIn=0; cSlot=2;
[Item] ID=gamechip_fire4_r; quantity=1; containedIn=0; cSlot=3;
[Item] ID=gamechip_ice1_r; quantity=1; containedIn=0; cSlot=4;
[Item] ID=gamechip_ice2_r; quantity=1; containedIn=0; cSlot=5;
[Item] ID=gamechip_ice3_r; quantity=1; containedIn=0; cSlot=6;
[Item] ID=gamechip_ice4_r; quantity=1; containedIn=0; cSlot=7;
[Item] ID=gamechip_elec1_r; quantity=1; containedIn=0; cSlot=8;
[Item] ID=gamechip_elec2_r; quantity=1; containedIn=0; cSlot=9;
[Item] ID=gamechip_elec3_r; quantity=1; containedIn=0; cSlot=10;
[Item] ID=gamechip_elec4_r; quantity=1; containedIn=0; cSlot=11;
[Item] ID=gamechip_wind1_r; quantity=1; containedIn=0; cSlot=12;
[Item] ID=gamechip_wind2_r; quantity=1; containedIn=0; cSlot=13;
[Item] ID=gamechip_wind3_r; quantity=1; containedIn=0; cSlot=14;
[Item] ID=gamechip_wind4_r; quantity=1; containedIn=0; cSlot=15;
[Item] ID=sunbeam_circle_big; quantity=1; x=5; y=9;
[Item] ID=sunbeam_circle_big; quantity=1; x=9; y=3;
[Item] ID=sunbeam_circle_big; quantity=1; x=9; y=5;
[Item] ID=sunbeam_circle_big; quantity=1; x=9; y=14;
[Item] ID=sunbeam_circle_big; quantity=1; x=9; y=16;
[Item] ID=sunbeam_circle_big; quantity=1; x=13; y=9;
[Item] ID=gamechip_sack2; quantity=1; x=13; y=14; containerID=1;
[Item] ID=gamechip_fire1_b; quantity=1; containedIn=1; cSlot=0;
[Item] ID=gamechip_fire2_b; quantity=1; containedIn=1; cSlot=1;
[Item] ID=gamechip_fire3_b; quantity=1; containedIn=1; cSlot=2;
[Item] ID=gamechip_fire4_b; quantity=1; containedIn=1; cSlot=3;
[Item] ID=gamechip_ice1_b; quantity=1; containedIn=1; cSlot=4;
[Item] ID=gamechip_ice2_b; quantity=1; containedIn=1; cSlot=5;
[Item] ID=gamechip_ice3_b; quantity=1; containedIn=1; cSlot=6;
[Item] ID=gamechip_ice4_b; quantity=1; containedIn=1; cSlot=7;
[Item] ID=gamechip_elec1_b; quantity=1; containedIn=1; cSlot=8;
[Item] ID=gamechip_elec2_b; quantity=1; containedIn=1; cSlot=9;
[Item] ID=gamechip_elec3_b; quantity=1; containedIn=1; cSlot=10;
[Item] ID=gamechip_elec4_b; quantity=1; containedIn=1; cSlot=11;
[Item] ID=gamechip_wind1_b; quantity=1; containedIn=1; cSlot=12;
[Item] ID=gamechip_wind2_b; quantity=1; containedIn=1; cSlot=13;
[Item] ID=gamechip_wind3_b; quantity=1; containedIn=1; cSlot=14;
[Item] ID=gamechip_wind4_b; quantity=1; containedIn=1; cSlot=15;
[Item] ID=sunbeam_circle_big; quantity=1; x=15; y=9;



