[Zone]  ID=zCaveJail3a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=True; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Suspense3; travelSongVolume=1; travelSongPitch=0; song2=CC0-DeepNoise; song2Volume=0.4; song2Pitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=61; darkG=67; darkB=63; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=0; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=p17; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p38; zoneStoneDarkPalette=p38; zoneStoneLightPalette=p38; zoneWaterPalette=p2; zoneDirtDarkPalette=p1; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pWoodDark; zoneMisc2Palette=pWoodDark; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=roof_black; q=1; x=0; y=1;
[Item] ID=roof_black; q=1; x=0; y=2;
[Item] ID=roof_black; q=1; x=0; y=3;
[Item] ID=roof_black; q=1; x=0; y=4;
[Item] ID=roof_black; q=1; x=0; y=5;
[Item] ID=roof_black; q=1; x=0; y=6;
[Item] ID=roof_black; q=1; x=0; y=7;
[Item] ID=roof_black; q=1; x=1; y=1;
[Item] ID=roof_black; q=1; x=1; y=2;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=1; y=2;
[Item] ID=fade_line; q=1; r=270; oX=0; oY=-12; x=1; y=2;
[Item] ID=roof_black; q=1; x=1; y=3;
[Item] ID=roof_black; q=1; x=1; y=4;
[Item] ID=fade_s6; q=1; r=270; x=1; y=4;
[Item] ID=roof_black; q=1; x=1; y=5;
[Item] ID=slowMovement; q=1; x=1; y=5;
[Item] ID=roof_black; q=1; x=1; y=6;
[Item] ID=slowMovement; q=1; x=1; y=6;
[Item] ID=roof_black; q=1; x=1; y=7;
[Item] ID=fade_s3; q=1; x=1; y=7;
[Item] ID=roof_black; q=1; x=1; y=8;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=1; y=11;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=1; y=12;
[Item] ID=rockEdge1_S_overhang; q=1; x=1; y=13;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=1; y=57;
[Item] ID=rockEdge1_S_overhang_wall_dark; q=1; x=1; y=58;
[Item] ID=roof_black; q=1; x=2; y=1;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=2; y=2;
[Item] ID=roof_black; q=1; x=2; y=2;
[Item] ID=fade_line; q=1; r=270; oX=0; oY=-12; x=2; y=2;
