[Zone]  ID=zCragrook1a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=AmbientBeach; travelSongVolume=0.8; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pYellow6; zoneGrassPalette=overworld1; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p2; zoneStoneDarkPalette=pFangWeaponHilt; zoneStoneLightPalette=p2; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pYellow6; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p2; zoneMisc2Palette=p12; zoneMisc3Palette=p2; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=15;
[Item] ID=blockedLoE; q=1; x=12; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=16;
[Item] ID=blockedLoE; q=1; x=12; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=17;
[Item] ID=blockedLoE; q=1; x=12; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=18;
[Item] ID=blockedLoE; q=1; x=12; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=19;
[Item] ID=blockedLoE; q=1; x=12; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=20;
[Item] ID=blockedLoE; q=1; x=12; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=21;
[Item] ID=blockedLoE; q=1; x=12; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=22;
[Item] ID=blockedLoE; q=1; x=12; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=23;
[Item] ID=blockedLoE; q=1; x=12; y=23;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=24;
[Item] ID=blockedLoE; q=1; x=12; y=24;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=12; y=25;
[Item] ID=blockedLoE; q=1; x=12; y=25;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=26;
[Item] ID=blockedLoE; q=1; x=12; y=26;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=27;
[Item] ID=blockedLoE; q=1; x=12; y=27;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=28;
[Item] ID=blockedLoE; q=1; x=12; y=28;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=12; y=29;
[Item] ID=blockedLoE; q=1; x=12; y=29;
[Item] ID=outdoor_mtn_rangeM4_cr; q=1; x=12; y=30;
[Item] ID=blockedLoE; q=1; x=12; y=30;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=31;
[Item] ID=blockedLoE; q=1; x=12; y=31;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=32;
[Item] ID=blockedLoE; q=1; x=12; y=32;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=33;
[Item] ID=blockedLoE; q=1; x=12; y=33;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=34;
[Item] ID=blockedLoE; q=1; x=12; y=34;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=35;
[Item] ID=blockedLoE; q=1; x=12; y=35;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=12; y=36;
[Item] ID=blockedLoE; q=1; x=12; y=36;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=12; y=37;
[Item] ID=blockedLoE; q=1; x=12; y=37;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=12; y=38;
[Item] ID=blockedLoE; q=1; x=12; y=38;
[Item] ID=outdoor_mtn_rangeM10_cr; q=1; x=13; y=15;
[Item] ID=blockedLoE; q=1; x=13; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=16;
[Item] ID=blockedLoE; q=1; x=13; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=17;
[Item] ID=blockedLoE; q=1; x=13; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=18;
[Item] ID=blockedLoE; q=1; x=13; y=18;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=13; y=19;
[Item] ID=blockedLoE; q=1; x=13; y=19;
[Item] ID=outdoor_mtn_rangeM9_cr; q=1; x=13; y=20;
[Item] ID=blockedLoE; q=1; x=13; y=20;
[Item] ID=outdoor_mtn_rangeM10_cr; q=1; x=13; y=21;
[Item] ID=blockedLoE; q=1; x=13; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=22;
[Item] ID=blockedLoE; q=1; x=13; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=23;
[Item] ID=blockedLoE; q=1; x=13; y=23;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=24;
[Item] ID=blockedLoE; q=1; x=13; y=24;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=25;
[Item] ID=blockedLoE; q=1; x=13; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=26;
[Item] ID=blockedLoE; q=1; x=13; y=26;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=27;
[Item] ID=blockedLoE; q=1; x=13; y=27;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=28;
[Item] ID=blockedLoE; q=1; x=13; y=28;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=13; y=29;
[Item] ID=blockedLoE; q=1; x=13; y=29;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=13; y=30;
[Item] ID=blockedLoE; q=1; x=13; y=30;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=31;
[Item] ID=blockedLoE; q=1; x=13; y=31;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=32;
[Item] ID=blockedLoE; q=1; x=13; y=32;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=33;
[Item] ID=blockedLoE; q=1; x=13; y=33;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=34;
[Item] ID=blockedLoE; q=1; x=13; y=34;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=13; y=35;
[Item] ID=blockedLoE; q=1; x=13; y=35;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=36;
[Item] ID=blockedLoE; q=1; x=13; y=36;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=13; y=37;
[Item] ID=blockedLoE; q=1; x=13; y=37;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=13; y=38;
[Item] ID=blockedLoE; q=1; x=13; y=38;
[Item] ID=outdoor_mtn_rangeM4_cr; q=1; x=14; y=15;
[Item] ID=blockedLoE; q=1; x=14; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=16;
[Item] ID=blockedLoE; q=1; x=14; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=17;
[Item] ID=blockedLoE; q=1; x=14; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=18;
[Item] ID=blockedLoE; q=1; x=14; y=18;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=14; y=19;
[Item] ID=blockedLoE; q=1; x=14; y=19;
[Item] ID=outdoor_mtn_rangeL9_cr; q=1; x=14; y=20;
[Item] ID=blockedLoE; q=1; x=14; y=20;
[Item] ID=outdoor_mtn_rangeM11_cr; q=1; x=14; y=21;
[Item] ID=blockedLoE; q=1; x=14; y=21;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=14; y=22;
[Item] ID=blockedLoE; q=1; x=14; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=23;
[Item] ID=blockedLoE; q=1; x=14; y=23;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=24;
[Item] ID=blockedLoE; q=1; x=14; y=24;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=25;
[Item] ID=blockedLoE; q=1; x=14; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=26;
[Item] ID=blockedLoE; q=1; x=14; y=26;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=27;
[Item] ID=blockedLoE; q=1; x=14; y=27;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=28;
[Item] ID=blockedLoE; q=1; x=14; y=28;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=29;
[Item] ID=blockedLoE; q=1; x=14; y=29;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=30;
[Item] ID=blockedLoE; q=1; x=14; y=30;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=31;
[Item] ID=blockedLoE; q=1; x=14; y=31;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=32;
[Item] ID=blockedLoE; q=1; x=14; y=32;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=33;
[Item] ID=blockedLoE; q=1; x=14; y=33;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=34;
[Item] ID=blockedLoE; q=1; x=14; y=34;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=35;
[Item] ID=blockedLoE; q=1; x=14; y=35;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=14; y=36;
[Item] ID=blockedLoE; q=1; x=14; y=36;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=37;
[Item] ID=blockedLoE; q=1; x=14; y=37;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=14; y=38;
[Item] ID=blockedLoE; q=1; x=14; y=38;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=15; y=15;
[Item] ID=blockedLoE; q=1; x=15; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=16;
[Item] ID=blockedLoE; q=1; x=15; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=17;
[Item] ID=blockedLoE; q=1; x=15; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=18;
[Item] ID=blockedLoE; q=1; x=15; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=19;
[Item] ID=blockedLoE; q=1; x=15; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=20;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=15; y=20;
[Item] ID=blockedLoE; q=1; x=15; y=20;
[Item] ID=outdoor_mtn_rangeM4_cr; q=1; x=15; y=21;
[Item] ID=blockedLoE; q=1; x=15; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=22;
[Item] ID=blockedLoE; q=1; x=15; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=23;
[Item] ID=blockedLoE; q=1; x=15; y=23;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=24;
[Item] ID=blockedLoE; q=1; x=15; y=24;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=25;
[Item] ID=blockedLoE; q=1; x=15; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=26;
[Item] ID=blockedLoE; q=1; x=15; y=26;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=27;
[Item] ID=blockedLoE; q=1; x=15; y=27;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=15; y=28;
[Item] ID=blockedLoE; q=1; x=15; y=28;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=29;
[Item] ID=blockedLoE; q=1; x=15; y=29;
