[Zone]  ID=zElecMtn1a; dark=False; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; boatZone=False; wind=True; overworld=False; canDropItems=True; 
 travelSong=; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=p70; zoneGrassPalette=overworld1; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=p70; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p9; zoneMisc2Palette=p12; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=rubble; q=1; x=0; y=36;
[Item] ID=rubble; q=1; x=0; y=39;
[Item] ID=rubble; q=1; x=0; y=42;
[Item] ID=rubble; q=1; x=0; y=45;
[Item] ID=rubble; q=1; x=0; y=46;
[Item] ID=boulder3; q=1; x=0; y=47;
[Item] ID=rubble; q=1; x=0; y=52;
[Item] ID=rubble; q=1; x=0; y=60;
[Item] ID=rubble; q=1; x=1; y=40;
[Item] ID=rubble; q=1; x=1; y=45;
[Item] ID=rubble; q=1; x=1; y=47;
[Item] ID=rubble; q=1; x=1; y=51;
[Item] ID=rubble; q=1; x=1; y=60;
[Item] ID=rubble; q=1; x=2; y=42;
[Item] ID=rubble; q=1; x=2; y=50;
[Item] ID=boulder3; q=1; x=2; y=53;
[Item] ID=rubble; q=1; x=2; y=54;
[Item] ID=boulder3; q=1; x=2; y=60;
[Item] ID=rubble; q=1; x=4; y=43;
[Item] ID=rubble; q=1; x=4; y=51;
[Item] ID=rubble; q=1; x=4; y=52;
[Item] ID=rubble; q=1; x=4; y=53;
[Item] ID=rubble; q=1; x=4; y=56;
[Item] ID=boulder3; q=1; x=4; y=57;
[Item] ID=rubble; q=1; x=4; y=58;
[Item] ID=rubble; q=1; x=5; y=51;
[Item] ID=boulder3; q=1; x=5; y=52;
[Item] ID=rubble; q=1; x=5; y=55;
[Item] ID=rubble; q=1; x=7; y=60;
[Item] ID=rubble; q=1; x=8; y=48;
[Item] ID=boulder3; q=1; x=8; y=49;
[Item] ID=rubble; q=1; x=9; y=45;
[Item] ID=rubble; q=1; x=9; y=56;
[Item] ID=rubble; q=1; x=9; y=58;
[Item] ID=rubble; q=1; x=11; y=45;
[Item] ID=rubble; q=1; x=11; y=47;
[Item] ID=rubble; q=1; x=12; y=47;
[Item] ID=boulder3; q=1; x=14; y=45;
[Item] ID=boulder3; q=1; x=14; y=52;
[Item] ID=rubble; q=1; x=14; y=54;
[Item] ID=rubble; q=1; x=14; y=59;
[Item] ID=rubble; q=1; x=15; y=45;
[Item] ID=rubble; q=1; x=15; y=52;
[Item] ID=rubble; q=1; x=16; y=44;
[Item] ID=rubble; q=1; x=19; y=52;
[Item] ID=rubble; q=1; x=20; y=45;
[Item] ID=rubble; q=1; x=20; y=53;
[Item] ID=rubble; q=1; x=20; y=55;
[Item] ID=rubble; q=1; x=22; y=43;
[Item] ID=rubble; q=1; x=22; y=44;
[Item] ID=hazard_lightning_perma; q=1; x=22; y=46;
