[Zone]  ID=zFDW5a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=ZP-ForgottenCastle; travelSongVolume=0.85; travelSongPitch=0.1; combatSong=PM-Rapid5; combatSongVolume=1; combatSongPitch=0; combatSongDelay=1.2; 
darkR=56; darkG=41; darkB=47; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=oceanB; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=p67; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p78; zoneStoneDarkPalette=p81; zoneStoneLightPalette=p69; zoneWaterPalette=p69; zoneDirtDarkPalette=p68; zoneWoodPalette=pBlue5; zoneWoodDarkPalette=pYellow6; zoneMisc1Palette=p81; zoneMisc2Palette=p69; zoneMisc3Palette=p69; zoneMisc4Palette=pFadeDark; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=p68; zoneMisc8Palette=pPurple; 

combatMode=False; zoneFX=w_risingDust;zoneFXTime=1;zoneFX_x=-1;zoneFX_y=-1;

[Item] ID=blockedPassage; q=1; x=0; y=44;
[Item] ID=blockedPassage; q=1; x=1; y=44;
[Item] ID=blockedPassage; q=1; x=2; y=44;
[Item] ID=blockedPassage; q=1; x=3; y=44;
[Item] ID=blockedPassage; q=1; x=4; y=44;
[Item] ID=blockedPassage; q=1; x=5; y=44;
[Item] ID=blockedPassage; q=1; x=6; y=44;
[Item] ID=blockedPassage; q=1; x=7; y=44;
[Item] ID=blockedPassage; q=1; x=8; y=44;
[Item] ID=blockedPassage; q=1; x=9; y=44;
[Item] ID=blockedPassage; q=1; x=10; y=44;
[Item] ID=blockedPassage; q=1; x=11; y=44;
[Item] ID=blockedPassage; q=1; x=12; y=44;
[Item] ID=blockedPassage; q=1; x=13; y=44;
[Item] ID=blockedPassage; q=1; x=14; y=44;
[Item] ID=blockedPassage; q=1; x=15; y=44;
[Item] ID=blockedPassage; q=1; x=16; y=44;
[Item] ID=blockedPassage; q=1; x=17; y=44;
[Item] ID=blockedPassage; q=1; x=18; y=44;
[Item] ID=blockedPassage; q=1; x=19; y=44;
[Item] ID=blockedPassage; q=1; x=20; y=44;
[Item] ID=blockedPassage; q=1; x=21; y=44;
[Item] ID=blockedPassage; q=1; x=22; y=44;
[Item] ID=blockedPassage; q=1; x=23; y=44;
[Item] ID=floor_cyber1; q=3; x=24; y=31;
[Item] ID=pebbles2; q=1; x=24; y=36;
[Item] ID=blockedPassage; q=1; x=24; y=44;
[Item] ID=floor_cyber1; q=7; x=25; y=34;
[Item] ID=floor_cyber1; q=3; x=25; y=39;
[Item] ID=blockedPassage; q=1; x=25; y=44;
[Item] ID=sunbeam_circle_med; q=1; x=26; y=33;
[Item] ID=blockedPassage; q=1; x=26; y=44;
