[Zone]  ID=zFleetBattle; dark=True; timeUntilNewDay=11.12958; showFogOfWar=False; fogOfWar=False; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=True; wind=True; overworld=False; canDropItems=True; 
 travelSong=; travelSongVolume=1; travelSongPitch=0; combatSong=PM-Seanchas; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pR; zoneGrassPalette=pR; zoneGrassDarkPalette=pR; zoneStonePalette=pR; zoneStoneDarkPalette=pR; zoneStoneLightPalette=pR; zoneWaterPalette=pBlue2; zoneDirtDarkPalette=pR; zoneWoodPalette=pR; zoneWoodDarkPalette=pR; zoneMisc1Palette=pR; zoneMisc2Palette=pR; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=blockedLoE; q=1; x=0; y=0;
[Item] ID=blockedLoE; q=1; x=0; y=1;
[Item] ID=blockedLoE; q=1; x=0; y=2;
[Item] ID=blockedLoE; q=1; x=0; y=3;
[Item] ID=blockedLoE; q=1; x=0; y=4;
[Item] ID=blockedLoE; q=1; x=0; y=5;
[Item] ID=blockedLoE; q=1; x=0; y=6;
[Item] ID=blockedLoE; q=1; x=0; y=7;
[Item] ID=blockedLoE; q=1; x=0; y=8;
[Item] ID=blockedLoE; q=1; x=0; y=9;
[Item] ID=blockedLoE; q=1; x=0; y=10;
[Item] ID=blockedLoE; q=1; x=0; y=11;
[Item] ID=blockedLoE; q=1; x=0; y=12;
[Item] ID=blockedLoE; q=1; x=0; y=13;
[Item] ID=blockedLoE; q=1; x=0; y=14;
[Item] ID=blockedLoE; q=1; x=0; y=15;
[Item] ID=blockedLoE; q=1; x=0; y=16;
[Item] ID=blockedLoE; q=1; x=0; y=17;
[Item] ID=blockedLoE; q=1; x=0; y=18;
[Item] ID=blockedLoE; q=1; x=0; y=19;
[Item] ID=blockedLoE; q=1; x=0; y=20;
[Item] ID=blockedLoE; q=1; x=0; y=21;
[Item] ID=blockedLoE; q=1; x=0; y=22;
[Item] ID=blockedLoE; q=1; x=0; y=23;
[Item] ID=blockedLoE; q=1; x=0; y=24;
[Item] ID=blockedLoE; q=1; x=0; y=25;
[Item] ID=blockedLoE; q=1; x=0; y=26;
[Item] ID=blockedLoE; q=1; x=0; y=27;
[Item] ID=blockedLoE; q=1; x=0; y=28;
[Item] ID=blockedLoE; q=1; x=0; y=29;
[Item] ID=blockedLoE; q=1; x=0; y=30;
[Item] ID=blockedLoE; q=1; x=0; y=31;
[Item] ID=blockedLoE; q=1; x=0; y=32;
[Item] ID=blockedLoE; q=1; x=0; y=33;
[Item] ID=blockedLoE; q=1; x=0; y=34;
[Item] ID=blockedLoE; q=1; x=0; y=35;
[Item] ID=blockedLoE; q=1; x=0; y=36;
[Item] ID=blockedLoE; q=1; x=0; y=37;
[Item] ID=blockedLoE; q=1; x=0; y=38;
[Item] ID=blockedLoE; q=1; x=0; y=39;
[Item] ID=blockedLoE; q=1; x=0; y=40;
[Item] ID=blockedLoE; q=1; x=0; y=41;
[Item] ID=blockedLoE; q=1; x=0; y=42;
[Item] ID=blockedLoE; q=1; x=0; y=43;
[Item] ID=blockedLoE; q=1; x=0; y=44;
[Item] ID=blockedLoE; q=1; x=0; y=45;
[Item] ID=blockedLoE; q=1; x=0; y=46;
[Item] ID=blockedLoE; q=1; x=0; y=47;
[Item] ID=blockedLoE; q=1; x=0; y=48;
[Item] ID=blockedLoE; q=1; x=0; y=49;
[Item] ID=blockedLoE; q=1; x=0; y=50;
[Item] ID=blockedLoE; q=1; x=0; y=51;
[Item] ID=blockedLoE; q=1; x=0; y=52;
[Item] ID=blockedLoE; q=1; x=1; y=0;
[Item] ID=sunbeam_circle_huge_dull; q=1; x=1; y=0;
[Item] ID=blockedLoE; q=1; x=1; y=1;
[Item] ID=blockedLoE; q=1; x=1; y=2;
[Item] ID=blockedLoE; q=1; x=1; y=3;
[Item] ID=blockedLoE; q=1; x=1; y=4;
[Item] ID=blockedLoE; q=1; x=1; y=5;
[Item] ID=blockedLoE; q=1; x=1; y=6;
[Item] ID=blockedLoE; q=1; x=1; y=7;
[Item] ID=blockedLoE; q=1; x=1; y=8;
[Item] ID=blockedLoE; q=1; x=1; y=9;
[Item] ID=blockedLoE; q=1; x=1; y=10;
[Item] ID=blockedLoE; q=1; x=1; y=11;
[Item] ID=blockedLoE; q=1; x=1; y=12;
[Item] ID=blockedLoE; q=1; x=1; y=13;
[Item] ID=blockedLoE; q=1; x=1; y=14;
