[Zone]  ID=zSnow1a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=True; overworld=False; canDropItems=True; 
 travelSong=CC0-DeepNoise; travelSongVolume=1; travelSongPitch=0.5; song2=; song2Volume=1; song2Pitch=0; combatSong=CC0-DeepNoise; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=p61; zoneGrassPalette=p26; zoneGrassDarkPalette=p13; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=p26; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p9; zoneMisc2Palette=p12; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; zoneFX=w_snowstormOccasional;zoneFXTime=16;zoneFX_x=-1;zoneFX_y=-1;

[Item] ID=xpGem; q=1; bu=True; x=0; y=0;
[Item] ID=cliffEdge1_S; q=1; x=0; y=2;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=0; y=4;
[Item] ID=cliffEdge1_E; q=1; x=0; y=5;
[Item] ID=cliffEdge1_E; q=1; x=0; y=6;
[Item] ID=cliffEdge1_E; q=1; x=0; y=7;
[Item] ID=cliffEdge1_E; q=1; x=0; y=8;
[Item] ID=cliffEdge1_E; q=1; x=0; y=9;
[Item] ID=cliffEdge1_E; q=1; x=0; y=10;
[Item] ID=cliffEdge1_E; q=1; x=0; y=11;
[Item] ID=cliffEdge1_E; q=1; x=0; y=12;
[Item] ID=cliffEdge1_E; q=1; x=0; y=13;
[Item] ID=cliffEdge1_E; q=1; x=0; y=14;
[Item] ID=cliffEdge1_E; q=1; x=0; y=15;
[Item] ID=cliffEdge1_E; q=1; x=0; y=16;
[Item] ID=cliffEdge1_E; q=1; x=0; y=17;
[Item] ID=cliffEdge1_E; q=1; x=0; y=18;
[Item] ID=cliffEdge1_E; q=1; x=0; y=19;
[Item] ID=cliffEdge1_E; q=1; x=0; y=20;
[Item] ID=cliffEdge1_E; q=1; x=0; y=21;
[Item] ID=cliffEdge1_E; q=1; x=0; y=22;
[Item] ID=cliffEdge1_E; q=1; x=0; y=23;
[Item] ID=cliffEdge1_E; q=1; x=0; y=24;
[Item] ID=cliffEdge1_E; q=1; x=0; y=25;
[Item] ID=cliffEdge1_E; q=1; x=0; y=26;
[Item] ID=cliffEdge1_E; q=1; x=0; y=27;
[Item] ID=cliffEdge1_E; q=1; x=0; y=28;
[Item] ID=cliffEdge1_E; q=1; x=0; y=29;
[Item] ID=cliffEdge1_E; q=1; x=0; y=30;
[Item] ID=cliffEdge1_E; q=1; x=0; y=31;
[Item] ID=cliffEdge1_E; q=1; x=0; y=32;
[Item] ID=cliffEdge1_E; q=1; x=0; y=33;
